type,openDate,openTime,openPosition,closeDate,closeTime,closePosition,tradeAmount,PnL,realPnL,buyCntWhenOpen,sellCntWhenOpen,totalExposure,beta,delta,rsi,movement
buy,20190423,14:10:00,262.735,20190423,19:49:00,263.34000000000003,1,0.6050000000000182,0.10500000000001819,0,0,0,0.0023589834340131954,5.152281672771153e-05,52.969299196127025,
buy,20190423,14:18:00,262.235,20190423,19:50:00,263.255,1,1.0199999999999818,0.5199999999999818,1,0,1,0.0007515030763809438,5.152281672771153e-05,53.46769843195378,
buy,20190423,14:27:00,262.69,20190423,19:49:00,263.34000000000003,1,0.6500000000000341,0.1500000000000341,2,0,2,0.0005017738650430204,5.152281672771153e-05,53.282618841157884,
buy,20190423,14:51:00,263.87,20190423,19:51:00,263.19,1,-0.6800000000000068,-1.1800000000000068,3,0,3,0.0007151942066627726,5.152281672771153e-05,54.76439682424727,
buy,20190423,15:54:00,262.925,20190423,19:49:00,263.34000000000003,1,0.41500000000002046,-0.08499999999997954,4,0,4,0.0005313722952138278,5.152281672771153e-05,53.814712851439324,
buy,20190423,15:55:00,263.125,20190423,19:50:00,263.255,1,0.12999999999999545,-0.37000000000000455,5,0,5,0.0006038442046989445,5.152281672771153e-05,55.191790324356106,
buy,20190423,15:56:00,263.07000000000005,20190423,19:49:00,263.34000000000003,1,0.2699999999999818,-0.2300000000000182,6,0,6,0.0006559547416502554,5.152281672771153e-05,53.04959056404014,
buy,20190423,15:57:00,263.244,20190423,19:52:00,263.15,1,-0.09400000000005093,-0.5940000000000509,7,0,7,0.0007003603983815054,5.152281672771153e-05,54.973397973669314,
buy,20190423,15:58:00,263.315,20190423,19:49:00,263.34000000000003,1,0.025000000000034106,-0.4749999999999659,8,0,8,0.0007412668081157037,5.152281672771153e-05,55.073149934954245,
buy,20190423,15:59:00,263.325,20190423,19:50:00,263.255,1,-0.06999999999999318,-0.5699999999999932,9,0,9,0.000767164747302651,5.152281672771153e-05,54.14718210866321,
buy,20190423,16:00:00,263.295,20190423,19:49:00,263.34000000000003,1,0.045000000000015916,-0.4549999999999841,10,0,10,0.0007916936272103214,5.152281672771153e-05,52.35922764726516,
